source_file,block_index,header_offset_hex,section_type,section_group,non_empty_rows,slot_values,row_group_values,option_id_count,value_low16_min,value_low16_max,after_list_count,after_list_values,evidence_level
item_option_open.dat,149,0x6d128,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,150,0x6dcd4,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,151,0x6e880,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,152,0x6f42c,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,153,0x6ffd8,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,154,0x70b84,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,155,0x71730,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,156,0x722dc,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,157,0x72e88,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,158,0x73a34,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,159,0x745e0,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,160,0x7518c,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,161,0x75d38,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,162,0x768e4,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,163,0x77490,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,164,0x7803c,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,165,0x78be8,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,166,0x79794,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,167,0x7a340,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,168,0x7aeec,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,169,0x7ba98,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,170,0x7c644,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,171,0x7d1f0,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,172,0x7dd9c,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,173,0x7e948,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,174,0x7f4f4,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
item_option_open.dat,175,0x800a0,0,0,0,,,0,,,0,,confirmed_binary_structure_unresolved_axis
